Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"M1108334", 12.47, 3,    7469.89,   89.7,    1.0375, 0, 0, 0, 0, 0, 0, 0, 0
"L2692664", 12.47, 3,    7469.86,   89.7,    1.0375, 0, 0, 0, 0, 0, 0, 0, 0
"L2823544", 12.47, 1,    7052.26,  -30.7,   0.97954, 0, 0, 0, 0, 0, 0, 0, 0
"226-23751", 12.47, 1,    7315.57,  -32.2,    1.0161, 2,    7512.72, -151.7,    1.0435, 3,    7526.23,   89.8,    1.0454
"P827536", 12.47, 1,    7265.27,  -33.8,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"N1137999", 12.47, 1,    7264.99,  -33.8,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"L3027157", 12.47, 1,    7293.37,  -33.3,     1.013, 2,    7358.54, -156.0,    1.0221, 3,    7457.18,   92.4,    1.0358
"L2973155", 12.47, 1,    7290.05,  -33.3,    1.0126, 2,    7350.62, -156.0,     1.021, 3,    7459.08,   92.4,     1.036
"M1186052", 12.47, 1,    7449.33,  -31.2,    1.0347, 2,    7543.69, -151.0,    1.0478, 3,    7580.65,   90.1,    1.0529
"198-5320", 12.47, 1,    7449.33,  -31.2,    1.0347, 2,    7543.68, -151.0,    1.0478, 3,    7580.64,   90.1,    1.0529
"L3216346", 12.47, 1,    7191.02,  -33.9,   0.99881, 0, 0, 0, 0, 0, 0, 0, 0
"L2858163", 12.47, 1,    7190.27,  -33.9,   0.99871, 0, 0, 0, 0, 0, 0, 0, 0
"M1047813", 12.47, 2,    7267.86, -156.1,    1.0095, 0, 0, 0, 0, 0, 0, 0, 0
"L2973149", 12.47, 2,    7267.79, -156.1,    1.0095, 0, 0, 0, 0, 0, 0, 0, 0
"L3086079", 12.47, 2,    7542.83, -151.0,    1.0477, 0, 0, 0, 0, 0, 0, 0, 0
"M1069574", 12.47, 2,    7355.13, -154.9,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0
"L2710530", 12.47, 2,    7355.12, -154.9,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0
"M1069285", 12.47, 1,    7306.47,  -33.1,    1.0148, 3,    7387.83,   91.8,    1.0262, 0, 0, 0, 0
"M4113348", 12.47, 1,    7306.46,  -33.1,    1.0148, 3,    7387.82,   91.8,    1.0261, 0, 0, 0, 0
"L2879074", 12.47, 1,    7251.53,  -33.4,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0
"M1026916", 12.47, 2,     7386.8, -156.4,     1.026, 0, 0, 0, 0, 0, 0, 0, 0
"E193509", 12.47, 1,    7327.85,  -31.5,    1.0178, 2,    7526.31, -151.4,    1.0454, 3,    7583.06,   90.5,    1.0533
"M1047794", 12.47, 2,     7319.6, -156.0,    1.0167, 0, 0, 0, 0, 0, 0, 0, 0
"M1047796", 12.47, 2,    7319.51, -156.0,    1.0167, 0, 0, 0, 0, 0, 0, 0, 0
"L3027116", 12.47, 1,    7190.71,  -34.4,   0.99877, 2,    7355.82, -154.0,    1.0217, 3,    7462.74,   88.7,    1.0366
"L2929261", 12.47, 1,    7331.35,  -33.3,    1.0183, 0, 0, 0, 0, 0, 0, 0, 0
"M1166375", 12.47, 1,    7377.95,  -31.4,    1.0248, 2,    7537.13, -151.3,    1.0469, 3,    7587.92,   90.4,    1.0539
"P895080", 12.47, 1,    7377.94,  -31.4,    1.0248, 0, 0, 0, 0, 0, 0, 0, 0
"L2973156", 12.47, 2,    7281.21, -156.3,    1.0113, 0, 0, 0, 0, 0, 0, 0, 0
"M1069311", 12.47, 1,    7306.56,  -33.1,    1.0149, 2,    7288.54, -156.3,    1.0124, 3,    7388.18,   91.8,    1.0262
"M1069208", 12.47, 3,       7423,   89.0,     1.031, 0, 0, 0, 0, 0, 0, 0, 0
"L2691945", 12.47, 3,    7422.98,   89.0,     1.031, 0, 0, 0, 0, 0, 0, 0, 0
"N1140820", 12.47, 2,    7434.62, -155.7,    1.0327, 0, 0, 0, 0, 0, 0, 0, 0
"M1026468", 12.47, 2,    7295.61, -154.1,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"P901909", 12.47, 2,    7295.61, -154.1,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"M1026662", 12.47, 1,    7263.12,  -33.4,    1.0088, 2,    7435.91, -155.7,    1.0328, 3,    7396.17,   92.4,    1.0273
"N1141473", 12.47, 1,    7263.11,  -33.4,    1.0088, 0, 0, 0, 0, 0, 0, 0, 0
"M1026941", 12.47, 1,    7256.49,  -33.8,    1.0079, 0, 0, 0, 0, 0, 0, 0, 0
"M1026942", 12.47, 1,    7256.42,  -33.8,    1.0079, 0, 0, 0, 0, 0, 0, 0, 0
"N1137985", 12.47, 1,    7306.91,  -33.3,    1.0149, 0, 0, 0, 0, 0, 0, 0, 0
"M1047713", 12.47, 1,    7323.45,  -33.3,    1.0172, 2,     7406.3, -155.9,    1.0287, 3,     7447.3,   92.3,    1.0344
"M1047720", 12.47, 1,    7316.52,  -33.3,    1.0162, 2,    7399.08, -155.9,    1.0277, 3,    7448.42,   92.3,    1.0346
"M1108298", 12.47, 1,    7306.91,  -32.4,    1.0149, 2,    7513.08, -151.8,    1.0435, 3,    7521.82,   89.7,    1.0448
"196-36167", 12.47, 1,    7305.64,  -32.4,    1.0147, 2,    7513.37, -151.8,    1.0436, 3,    7521.96,   89.7,    1.0448
"E183472", 12.47, 1,    7148.64,  -30.8,   0.99293, 2,    7493.33, -151.6,    1.0408, 3,    7659.37,   92.2,    1.0639
"L2989566", 12.47, 1,    7145.43,  -30.8,   0.99248, 2,    7490.73, -151.6,    1.0404, 3,    7658.71,   92.2,    1.0638
"M1010007", 12.47, 1,    7021.94,  -34.0,   0.97533, 0, 0, 0, 0, 0, 0, 0, 0
"M1010004", 12.47, 1,    7021.05,  -34.0,   0.97521, 0, 0, 0, 0, 0, 0, 0, 0
"P862322", 12.47, 1,    7140.01,  -30.8,   0.99173, 2,    7486.98, -151.6,    1.0399, 3,    7655.92,   92.2,    1.0634
"M1089188", 12.47, 3,    7289.17,   89.4,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"M1089189", 12.47, 3,    7289.06,   89.4,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"L2972704", 12.47, 3,    7428.74,   89.0,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"L3263051", 12.47, 3,    7428.55,   89.0,    1.0318, 0, 0, 0, 0, 0, 0, 0, 0
"N1139544", 12.47, 3,    7418.43,   89.0,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0
"L2897776", 12.47, 3,    7418.38,   89.0,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0
"N1230122", 12.47, 1,    7143.62,  -30.8,   0.99223, 0, 0, 0, 0, 0, 0, 0, 0
"L2689726", 12.47, 1,    7238.44,  -33.5,    1.0054, 0, 0, 0, 0, 0, 0, 0, 0
"M1142868", 12.47, 1,    7287.66,  -31.3,    1.0122, 2,    7519.62, -151.4,    1.0445, 3,    7605.52,   91.0,    1.0564
"M1142869", 12.47, 1,     7282.9,  -31.3,    1.0116, 2,    7518.65, -151.4,    1.0443, 3,    7607.23,   91.0,    1.0566
"L2767414", 12.47, 3,    7488.16,   89.7,    1.0401, 0, 0, 0, 0, 0, 0, 0, 0
"M1027027", 12.47, 3,    7354.14,   92.3,    1.0215, 0, 0, 0, 0, 0, 0, 0, 0
"L3270853", 12.47, 3,    7354.14,   92.3,    1.0215, 0, 0, 0, 0, 0, 0, 0, 0
"M1125982", 12.47, 2,    7501.09, -151.5,    1.0419, 0, 0, 0, 0, 0, 0, 0, 0
"M1069572", 12.47, 2,    7355.14, -154.9,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0
"L3066826", 12.47, 2,    7354.98, -154.9,    1.0216, 0, 0, 0, 0, 0, 0, 0, 0
"M1166356", 12.47, 1,    7387.01,  -31.3,     1.026, 0, 0, 0, 0, 0, 0, 0, 0
"L2730187", 12.47, 1,    7386.98,  -31.3,     1.026, 0, 0, 0, 0, 0, 0, 0, 0
"L3122825", 12.47, 1,    7136.27,  -34.4,   0.99121, 0, 0, 0, 0, 0, 0, 0, 0
"L2991920", 12.47, 1,    7136.23,  -34.4,    0.9912, 0, 0, 0, 0, 0, 0, 0, 0
"N1134474", 12.47, 1,    7295.33,  -31.8,    1.0133, 2,    7457.79, -154.1,    1.0359, 3,    7579.28,   92.4,    1.0527
"M1069496", 12.47, 1,    7289.21,  -31.8,    1.0125, 2,    7454.73, -154.2,    1.0354, 3,    7581.88,   92.4,    1.0531
"L3122826", 12.47, 1,    7255.16,  -34.3,    1.0077, 0, 0, 0, 0, 0, 0, 0, 0
"M1047358", 12.47, 1,    7254.97,  -34.3,    1.0077, 0, 0, 0, 0, 0, 0, 0, 0
"L3142078", 12.47, 2,    7470.64, -152.8,    1.0377, 0, 0, 0, 0, 0, 0, 0, 0
"L2879752", 12.47, 2,    7470.59, -152.8,    1.0376, 0, 0, 0, 0, 0, 0, 0, 0
"P850072", 12.47, 1,    7138.71,  -30.8,   0.99155, 2,    7486.37, -151.6,    1.0398, 3,    7655.18,   92.2,    1.0633
"221-311609", 12.47, 1,    7138.71,  -30.8,   0.99155, 2,    7486.37, -151.6,    1.0398, 3,    7655.17,   92.2,    1.0633
"M1027023", 12.47, 1,     7074.2,  -33.9,   0.98259, 2,    7311.32, -156.5,    1.0155, 3,     7374.4,   92.3,    1.0243
"L3122815", 12.47, 2,    7311.24, -156.5,    1.0155, 0, 0, 0, 0, 0, 0, 0, 0
"L2724120", 12.47, 3,    7404.19,   89.0,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"M1069149", 12.47, 3,    7404.18,   89.0,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"L2729429", 12.47, 1,    7306.39,  -33.3,    1.0148, 0, 0, 0, 0, 0, 0, 0, 0
"L3215549", 12.47, 2,    7316.13, -156.1,    1.0162, 0, 0, 0, 0, 0, 0, 0, 0
"L2897800", 12.47, 2,    7313.42, -156.1,    1.0158, 0, 0, 0, 0, 0, 0, 0, 0
"L3027156", 12.47, 3,    7452.96,   92.3,    1.0352, 0, 0, 0, 0, 0, 0, 0, 0
"L2860481", 12.47, 3,    7452.92,   92.3,    1.0352, 0, 0, 0, 0, 0, 0, 0, 0
"N1140828", 12.47, 1,     7266.2,  -33.4,    1.0093, 2,    7435.18, -155.7,    1.0327, 3,    7399.07,   92.4,    1.0277
"M1026708", 12.47, 1,    7266.05,  -33.4,    1.0092, 2,    7435.23, -155.7,    1.0327, 3,    7398.99,   92.4,    1.0277
"M1126020", 12.47, 1,    7051.58,  -30.7,   0.97945, 0, 0, 0, 0, 0, 0, 0, 0
"M1126023", 12.47, 1,    7051.57,  -30.7,   0.97944, 0, 0, 0, 0, 0, 0, 0, 0
"M1026906", 12.47, 1,    7266.75,  -33.7,    1.0093, 0, 0, 0, 0, 0, 0, 0, 0
"M1209824", 12.47, 3,    7499.57,   89.8,    1.0417, 0, 0, 0, 0, 0, 0, 0, 0
"M1209828", 12.47, 3,    7490.87,   89.8,    1.0405, 0, 0, 0, 0, 0, 0, 0, 0
"L3195315", 12.47, 1,    7377.78,  -33.8,    1.0248, 0, 0, 0, 0, 0, 0, 0, 0
"M1069590", 12.47, 2,    7278.22, -155.0,    1.0109, 0, 0, 0, 0, 0, 0, 0, 0
"M1069595", 12.47, 2,    7264.98, -155.0,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"M1027004", 12.47, 2,    7279.71, -156.1,    1.0111, 0, 0, 0, 0, 0, 0, 0, 0
"L2897765", 12.47, 2,    7274.57, -156.1,    1.0104, 0, 0, 0, 0, 0, 0, 0, 0
"M1047314", 12.47, 1,       7213,  -34.4,    1.0019, 0, 0, 0, 0, 0, 0, 0, 0
"N1137961", 12.47, 1,    7212.36,  -34.4,    1.0018, 0, 0, 0, 0, 0, 0, 0, 0
"L2876814", 12.47, 1,    7210.97,  -33.8,    1.0016, 2,    7367.41, -156.4,    1.0233, 3,    7420.76,   92.3,    1.0307
"M1026834", 12.47, 1,    7209.54,  -33.8,    1.0014, 2,    7364.08, -156.4,    1.0229, 3,    7420.92,   92.3,    1.0307
"M1008743", 12.47, 2,    7294.05, -154.1,    1.0131, 0, 0, 0, 0, 0, 0, 0, 0
"M1008742", 12.47, 2,    7293.78, -154.1,    1.0131, 0, 0, 0, 0, 0, 0, 0, 0
"P827525", 12.47, 1,    7237.88,  -33.8,    1.0053, 2,    7403.13, -156.3,    1.0283, 3,    7421.63,   92.4,    1.0308
"M1026902", 12.47, 1,    7232.91,  -33.8,    1.0046, 2,     7399.1, -156.3,    1.0277, 3,    7421.23,   92.4,    1.0308
"N1144663", 12.47, 1,    7302.98,  -31.7,    1.0144, 2,    7461.64, -154.0,    1.0364, 3,    7576.03,   92.4,    1.0523
"M1089215", 12.47, 1,    7300.24,  -31.8,     1.014, 2,    7460.26, -154.0,    1.0362, 3,     7577.2,   92.4,    1.0525
"M1069467", 12.47, 1,    7309.32,  -33.2,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"M1047324", 12.47, 1,    7240.54,  -34.3,    1.0057, 2,    7371.27, -154.0,    1.0239, 3,    7465.74,   88.6,     1.037
"L2897780", 12.47, 1,    7232.13,  -34.4,    1.0045, 2,    7369.56, -154.0,    1.0236, 3,     7465.1,   88.6,    1.0369
"M1069411", 12.47, 1,    7303.72,  -33.1,    1.0145, 2,    7298.71, -156.3,    1.0138, 3,    7399.53,   91.9,    1.0278
"L2711226", 12.47, 1,    7323.42,  -31.7,    1.0172, 2,    7521.94, -151.5,    1.0448, 3,    7566.78,   90.3,     1.051
"L3101789", 12.47, 1,    7195.49,  -33.9,   0.99943, 0, 0, 0, 0, 0, 0, 0, 0
"L2841616", 12.47, 1,    7305.86,  -33.2,    1.0148, 0, 0, 0, 0, 0, 0, 0, 0
"M1089170", 12.47, 3,    7305.25,   89.4,    1.0147, 0, 0, 0, 0, 0, 0, 0, 0
"L2879062", 12.47, 3,    7298.51,   89.4,    1.0137, 0, 0, 0, 0, 0, 0, 0, 0
"N1139545", 12.47, 3,     7433.5,   89.0,    1.0325, 0, 0, 0, 0, 0, 0, 0, 0
"M1069174", 12.47, 3,    7429.54,   89.0,    1.0319, 0, 0, 0, 0, 0, 0, 0, 0
"N1140517", 12.47, 1,    7420.79,  -31.1,    1.0307, 0, 0, 0, 0, 0, 0, 0, 0
"L3157718", 12.47, 1,    7420.64,  -31.1,    1.0307, 0, 0, 0, 0, 0, 0, 0, 0
"L2727008", 12.47, 2,    7251.04, -155.1,    1.0072, 0, 0, 0, 0, 0, 0, 0, 0
"M1069629", 12.47, 2,    7233.21, -155.1,    1.0047, 0, 0, 0, 0, 0, 0, 0, 0
"L2691944", 12.47, 1,    7112.32,  -33.9,   0.98788, 0, 0, 0, 0, 0, 0, 0, 0
"N1230121", 12.47, 3,    7520.08,   89.8,    1.0445, 0, 0, 0, 0, 0, 0, 0, 0
"M1069533", 12.47, 1,    7247.71,  -31.9,    1.0067, 2,    7409.13, -154.8,    1.0291, 3,    7612.76,   92.3,    1.0574
"N1136356", 12.47, 1,    7248.19,  -31.9,    1.0068, 2,    7408.88, -154.8,    1.0291, 3,    7611.76,   92.2,    1.0573
"M1142865", 12.47, 1,    7299.31,  -31.3,    1.0139, 2,    7521.99, -151.4,    1.0448, 3,    7601.34,   90.9,    1.0558
"M1047526", 12.47, 1,       7412,  -33.2,    1.0295, 2,    7472.59, -155.7,    1.0379, 3,    7452.41,   92.3,    1.0351
"N1136666", 12.47, 1,    7410.63,  -33.2,    1.0293, 2,    7472.02, -155.7,    1.0378, 3,    7452.09,   92.3,    1.0351
"L2804253", 12.47, 1,    7374.32,  -33.8,    1.0243, 0, 0, 0, 0, 0, 0, 0, 0
"M1209790", 12.47, 1,    7497.95,  -31.1,    1.0414, 2,    7555.11, -150.8,    1.0494, 3,    7572.83,   90.0,    1.0518
"M1209788", 12.47, 1,    7492.71,  -31.1,    1.0407, 2,    7554.06, -150.8,    1.0492, 3,    7573.64,   90.0,     1.052
"P850400", 12.47, 3,    7387.79,   91.8,    1.0261, 0, 0, 0, 0, 0, 0, 0, 0
"L3029500", 12.47, 1,    7190.95,  -33.9,    0.9988, 0, 0, 0, 0, 0, 0, 0, 0
"M1026764", 12.47, 1,    7190.77,  -33.9,   0.99878, 0, 0, 0, 0, 0, 0, 0, 0
"M1108375", 12.47, 3,    7650.41,   92.0,    1.0626, 0, 0, 0, 0, 0, 0, 0, 0
"M1069217", 12.47, 3,    7420.32,   89.0,    1.0307, 0, 0, 0, 0, 0, 0, 0, 0
"L2954350", 12.47, 3,    7420.11,   89.0,    1.0306, 0, 0, 0, 0, 0, 0, 0, 0
"L2802481", 12.47, 1,    7140.85,  -30.8,   0.99185, 0, 0, 0, 0, 0, 0, 0, 0
"L3214549", 12.47, 1,    7140.74,  -30.8,   0.99183, 0, 0, 0, 0, 0, 0, 0, 0
"L2851933", 12.47, 1,    7268.64,  -33.4,    1.0096, 2,    7434.46, -155.7,    1.0326, 3,    7400.74,   92.4,    1.0279
"L3207907", 12.47, 1,    7268.57,  -33.4,    1.0096, 2,    7434.48, -155.7,    1.0326, 3,    7400.73,   92.4,    1.0279
"L2841619", 12.47, 3,    7288.93,   89.4,    1.0124, 0, 0, 0, 0, 0, 0, 0, 0
"M1108380", 12.47, 1,    7143.16,  -30.8,   0.99217, 2,    7488.49, -151.6,    1.0401, 3,    7658.18,   92.2,    1.0637
"P904452", 12.47, 2,    7488.44, -151.6,    1.0401, 0, 0, 0, 0, 0, 0, 0, 0
"N1136995", 12.47, 3,    7442.95,   92.3,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"M1047613", 12.47, 3,    7442.81,   92.3,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"221-306687", 12.47, 2,    7315.96, -154.0,    1.0162, 0, 0, 0, 0, 0, 0, 0, 0
"L2916625", 12.47, 2,    7313.61, -154.0,    1.0158, 0, 0, 0, 0, 0, 0, 0, 0
"M1009724", 12.47, 1,    7194.51,  -33.9,    0.9993, 0, 0, 0, 0, 0, 0, 0, 0
"M1009720", 12.47, 1,    7193.89,  -33.9,   0.99921, 0, 0, 0, 0, 0, 0, 0, 0
"L2822862", 12.47, 3,    7351.98,   89.5,    1.0212, 0, 0, 0, 0, 0, 0, 0, 0
"D6019477-1_INT", 12.47, 3,     7369.7,   92.3,    1.0236, 0, 0, 0, 0, 0, 0, 0, 0
"E182727", 12.47, 3,    7369.67,   92.3,    1.0236, 0, 0, 0, 0, 0, 0, 0, 0
"M1027043", 12.47, 1,    7067.96,  -33.9,   0.98172, 2,    7311.89, -156.5,    1.0156, 3,    7370.07,   92.3,    1.0237
"M1026948", 12.47, 2,    7350.63, -156.5,     1.021, 0, 0, 0, 0, 0, 0, 0, 0
"M1026949", 12.47, 2,    7350.62, -156.5,     1.021, 0, 0, 0, 0, 0, 0, 0, 0
"M1089131", 12.47, 1,    7065.56,  -33.3,   0.98139, 2,    7381.29, -152.6,    1.0252, 3,    7425.85,   89.3,    1.0314
"L3270854", 12.47, 1,    7065.56,  -33.3,   0.98139, 0, 0, 0, 0, 0, 0, 0, 0
"M1209763", 12.47, 2,       7539, -151.0,    1.0471, 0, 0, 0, 0, 0, 0, 0, 0
"L3176661", 12.47, 3,    7395.85,   89.7,    1.0273, 0, 0, 0, 0, 0, 0, 0, 0
"L2970804", 12.47, 3,    7395.79,   89.7,    1.0273, 0, 0, 0, 0, 0, 0, 0, 0
"P827504", 12.47, 1,    7312.88,  -33.3,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"N1137957", 12.47, 1,    7312.88,  -33.3,    1.0157, 0, 0, 0, 0, 0, 0, 0, 0
"L2936275", 12.47, 2,    7535.71, -151.0,    1.0467, 0, 0, 0, 0, 0, 0, 0, 0
"L2766722", 12.47, 2,    7250.53, -156.4,    1.0071, 0, 0, 0, 0, 0, 0, 0, 0
"L3142079", 12.47, 2,     7513.8, -151.6,    1.0436, 0, 0, 0, 0, 0, 0, 0, 0
"M3036162", 12.47, 2,     7513.8, -151.6,    1.0436, 0, 0, 0, 0, 0, 0, 0, 0
"M1026724", 12.47, 1,    7286.81,  -33.4,    1.0121, 2,    7433.51, -155.7,    1.0325, 3,    7406.24,   92.4,    1.0287
"R18243", 12.47, 1,    7286.49,  -33.4,    1.0121, 2,    7433.53, -155.7,    1.0325, 3,    7406.16,   92.4,    1.0287
"L2710504", 12.47, 2,    7303.76, -156.1,    1.0145, 0, 0, 0, 0, 0, 0, 0, 0
"M1142860", 12.47, 1,     7309.7,  -31.4,    1.0153, 2,    7524.11, -151.4,    1.0451, 3,    7597.65,   90.8,    1.0553
"P895114", 12.47, 1,     7309.7,  -31.4,    1.0153, 0, 0, 0, 0, 0, 0, 0, 0
"L3197652", 12.47, 1,    7247.83,  -31.9,    1.0067, 0, 0, 0, 0, 0, 0, 0, 0
"P827575", 12.47, 3,    7405.21,   92.0,    1.0286, 0, 0, 0, 0, 0, 0, 0, 0
"M1069437", 12.47, 3,    7405.18,   92.0,    1.0286, 0, 0, 0, 0, 0, 0, 0, 0
"M1069620", 12.47, 2,    7264.74, -155.0,    1.0091, 0, 0, 0, 0, 0, 0, 0, 0
"L3270814", 12.47, 1,    7256.34,  -33.8,    1.0079, 0, 0, 0, 0, 0, 0, 0, 0
"M1026378", 12.47, 1,    7125.27,  -34.5,   0.98968, 0, 0, 0, 0, 0, 0, 0, 0
"L2897778", 12.47, 1,     7121.9,  -34.5,   0.98921, 0, 0, 0, 0, 0, 0, 0, 0
"M1069532", 12.47, 2,     7409.1, -154.8,    1.0291, 0, 0, 0, 0, 0, 0, 0, 0
"L2785534", 12.47, 2,    7409.05, -154.8,    1.0291, 0, 0, 0, 0, 0, 0, 0, 0
"M1069147", 12.47, 3,    7405.36,   89.0,    1.0286, 0, 0, 0, 0, 0, 0, 0, 0
"L3066801", 12.47, 3,    7404.36,   89.0,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"M1069556", 12.47, 1,    7248.22,  -31.9,    1.0068, 2,    7408.89, -154.8,    1.0291, 3,     7611.5,   92.2,    1.0572
"P901932", 12.47, 3,    7611.49,   92.2,    1.0572, 0, 0, 0, 0, 0, 0, 0, 0
"L2691967", 12.47, 1,    7171.59,  -32.5,   0.99612, 2,    7422.13, -155.0,    1.0309, 3,    7596.14,   92.3,    1.0551
"M1069504", 12.47, 1,    7161.47,  -32.6,   0.99471, 2,    7418.06, -155.1,    1.0303, 3,    7593.82,   92.3,    1.0548
"M1166393", 12.47, 3,    7444.65,   89.7,     1.034, 0, 0, 0, 0, 0, 0, 0, 0
"M1166395", 12.47, 3,    7442.84,   89.7,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"L2766718", 12.47, 1,    7371.15,  -33.9,    1.0238, 2,    7434.73, -153.3,    1.0327, 3,    7446.87,   88.9,    1.0344
"L3048206", 12.47, 1,    7362.62,  -33.9,    1.0226, 2,     7428.3, -153.4,    1.0318, 3,    7449.37,   88.8,    1.0347
"M1047821", 12.47, 2,    7268.33, -156.1,    1.0096, 0, 0, 0, 0, 0, 0, 0, 0
"L2684420", 12.47, 2,     7267.7, -156.1,    1.0095, 0, 0, 0, 0, 0, 0, 0, 0
"P850080", 12.47, 1,    7138.76,  -30.8,   0.99156, 2,    7486.44, -151.6,    1.0398, 3,    7655.26,   92.2,    1.0633
"221-311905", 12.47, 1,    7138.75,  -30.8,   0.99155, 2,    7486.44, -151.6,    1.0398, 3,    7655.26,   92.2,    1.0633
"M1089204", 12.47, 1,    7387.33,  -31.3,    1.0261, 0, 0, 0, 0, 0, 0, 0, 0
"L3157167", 12.47, 1,     7387.2,  -31.3,    1.0261, 0, 0, 0, 0, 0, 0, 0, 0
"M1186072", 12.47, 1,    7458.88,  -31.1,     1.036, 2,    7547.28, -151.0,    1.0483, 3,       7579,   90.1,    1.0527
"M1186067", 12.47, 1,    7455.18,  -31.1,    1.0355, 2,    7546.52, -151.0,    1.0482, 3,     7579.6,   90.1,    1.0528
"M1047432", 12.47, 1,    7247.39,  -33.4,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0
"L2879075", 12.47, 1,    7247.38,  -33.4,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0
"M3037537", 12.47, 2,    7329.21, -156.5,     1.018, 0, 0, 0, 0, 0, 0, 0, 0
"L3231269", 12.47, 2,    7328.85, -156.5,     1.018, 0, 0, 0, 0, 0, 0, 0, 0
"R42247", 12.47, 1,    7348.89,  -31.4,    1.0207, 2,    7533.01, -151.4,    1.0463, 3,    7591.42,   90.5,    1.0544
"M1149233", 12.47, 1,    7344.99,  -31.4,    1.0202, 2,    7531.94, -151.4,    1.0462, 3,    7591.19,   90.5,    1.0544
"M1108266", 12.47, 2,       7476, -152.8,    1.0384, 0, 0, 0, 0, 0, 0, 0, 0
"M1108265", 12.47, 2,    7475.56, -152.8,    1.0383, 0, 0, 0, 0, 0, 0, 0, 0
"M1069543", 12.47, 2,    7357.22, -154.9,    1.0219, 0, 0, 0, 0, 0, 0, 0, 0
"M1069535", 12.47, 2,    7357.17, -154.9,    1.0219, 0, 0, 0, 0, 0, 0, 0, 0
"M1126017", 12.47, 1,    7051.53,  -30.7,   0.97944, 0, 0, 0, 0, 0, 0, 0, 0
"M1047711", 12.47, 1,     7193.1,  -32.4,    0.9991, 0, 0, 0, 0, 0, 0, 0, 0
"M1047718", 12.47, 1,    7192.95,  -32.4,   0.99908, 0, 0, 0, 0, 0, 0, 0, 0
"M1069136", 12.47, 1,    7305.91,  -34.2,    1.0148, 2,    7385.33, -153.8,    1.0258, 3,    7466.93,   88.6,    1.0371
"M1009771", 12.47, 2,     7360.8, -156.4,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0
"L2914323", 12.47, 2,    7360.71, -156.4,    1.0224, 0, 0, 0, 0, 0, 0, 0, 0
"M1069218", 12.47, 3,    7418.61,   89.0,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0
"L2954351", 12.47, 3,    7418.58,   89.0,    1.0304, 0, 0, 0, 0, 0, 0, 0, 0
"M1026744", 12.47, 1,    7294.99,  -33.3,    1.0133, 2,    7432.89, -155.7,    1.0324, 3,    7408.43,   92.4,     1.029
"M1008752", 12.47, 2,    7295.17, -154.1,    1.0133, 0, 0, 0, 0, 0, 0, 0, 0
"M1008746", 12.47, 2,    7294.37, -154.1,    1.0132, 0, 0, 0, 0, 0, 0, 0, 0
"M1069457", 12.47, 1,    7308.06,  -33.2,    1.0151, 2,    7334.77, -156.1,    1.0188, 3,    7406.72,   92.0,    1.0288
"E182745", 12.47, 1,    7308.06,  -33.2,    1.0151, 0, 0, 0, 0, 0, 0, 0, 0
"N1139546", 12.47, 2,    7491.63, -152.7,    1.0406, 0, 0, 0, 0, 0, 0, 0, 0
"M1026363", 12.47, 3,    7463.51,   88.7,    1.0367, 0, 0, 0, 0, 0, 0, 0, 0
"L2897779", 12.47, 3,    7463.36,   88.7,    1.0366, 0, 0, 0, 0, 0, 0, 0, 0
"L2841626", 12.47, 3,    7420.29,   89.0,    1.0307, 0, 0, 0, 0, 0, 0, 0, 0
"L2711234", 12.47, 2,    7512.98, -151.8,    1.0435, 0, 0, 0, 0, 0, 0, 0, 0
"L2973178", 12.47, 2,    7324.02, -156.2,    1.0173, 0, 0, 0, 0, 0, 0, 0, 0
"M1149236", 12.47, 1,     7355.7,  -31.4,    1.0217, 2,     7534.1, -151.3,    1.0465, 3,    7590.62,   90.5,    1.0543
"P829974", 12.47, 1,     7355.7,  -31.4,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0
